"","X.2","X.1","X","ID","ObsType","ObsDateTime","Latitude","Longitude","Elevation","UTCOffset","LimitingMag","CloudCover","SQMReading","SQMSerial","Constellation","SkyComment","LocationComment","Country","popden_km2","landvalue_dollar_ha","elec_use"
"1010",1010,1010,1010,312316,"Globe at Night","2023-12-12 00:10:00+00:00",43.261438057475,-88.1237824779292,273.24,-360,2,25,NA,"","Perseus","","","United States - Wisconsin",40.2381401062012,11.0732126235962,5454228
"2394",2394,2394,2394,310932,"Globe at Night","2023-10-02 03:11:00+00:00",41.7606321,-88.1437782,203.2,-300,0,0,NA,"","Pegasus","Stratus clouds covering 1/2 the sky","Suburban, 2 stop lights at street intersection, car headlights","United States - Illinois",1256.05908203125,12.8569469451904,8882088
"2398",2398,2398,2398,310928,"Globe at Night","2023-11-18 04:31:00+00:00",41.7962928,-88.1974148,213.51,-360,7,0,NA,"","Perseus","No clouds.","Suburban area, observed from tennis courts with trees surrounding, no lights around except stop lights","United States - Illinois",2171.40087890625,11.4542589187622,9099848
"2399",2399,2399,2399,310927,"Globe at Night","2023-11-23 20:26:00+00:00",41.7962928,-88.1974148,213.51,-360,3,0,NA,"","Perseus","No clouds, completely clear sky","Suburban area, no porch lights, no lights around only stoplights and car headlights in the distance","United States - Illinois",2171.40087890625,11.4542589187622,9099848
"2486",2486,2486,2486,310840,"Globe at Night","2023-11-16 04:06:00+00:00",41.9288422004926,-87.6525694048578,183.35,-360,1,25,NA,"","Pegasus","Sky was very clear. Some stars were visible!","Urban location. Some light emitting from streetlights and buildings","United States - Illinois",9622.32421875,14.446177482605,9831518
"2513",2513,2513,2513,310813,"Globe at Night","2023-11-15 04:03:00+00:00",41.9288395736584,-87.652573292885,183.35,-360,0,25,NA,"","Pegasus","The sky was very clear and I was able to see some stars!","City location. Lots of streetlights and some lights from surrounding buildings.","United States - Illinois",9622.32421875,14.446177482605,9831518
"2542",2542,2542,2542,310784,"Globe at Night","2023-11-10 02:40:00+00:00",41.7397585,-88.2468218,218.7,-360,2,25,NA,"","Pegasus","Few street lights, headlights, and other light pollution sources.","","United States - Illinois",2640.71899414062,12.3277015686035,8829135
"2543",2543,2543,2543,310783,"Globe at Night","2023-11-11 05:15:00+00:00",41.755104509769,-88.2186771743287,210.47,-360,2,25,NA,"","Pegasus","","","United States - Illinois",1647.48010253906,13.0300331115723,9584826
"2544",2544,2544,2544,310782,"Globe at Night","2023-11-10 02:15:00+00:00",41.7257777,-88.2543697,213.23,-360,3,25,NA,"","Pegasus","some wispy clouds, but didn't really impact oberservability","suburban, watched from my driveway","United States - Illinois",2393.70092773438,12.9535465240479,8694500
"2546",2546,2546,2546,310780,"Globe at Night","2023-11-13 02:00:00+00:00",41.7605849,-88.3200715,205.93,-360,2,0,NA,"","Pegasus","No haze, no city-like light pollution, clear skys, no rain, no snow","suburbs, near school, not close to chicago, near downtown areas like naperville/aurora","United States - Illinois",4480.3876953125,13.0547351837158,9970065
"2548",2548,2548,2548,310778,"Globe at Night","2023-11-14 14:24:00+00:00",41.7174385,-88.2177018,213.17,-360,4,0,NA,"","Pegasus","Really clear. You can see almost all the constellations.","Suburban neighborhood.","United States - Illinois",876.974731445312,13.112473487854,8829135
"2549",2549,2549,2549,310777,"Globe at Night","2023-11-11 02:20:00+00:00",41.729390162826,-88.2423869193023,213.91,-360,2,0,NA,"","Pegasus","","Suburban; few streetlights and lights from homes; tree cover","United States - Illinois",2306.97924804688,12.1996507644653,8694500
"2550",2550,2550,2550,310776,"Globe at Night","2023-11-13 02:30:00+00:00",41.7399815,-88.252396,211.94,-360,3,0,NA,"","Pegasus","","suburban, no snow, medium trees, clear sky,","United States - Illinois",1727.73083496094,12.9790306091309,8829135
"2551",2551,2551,2551,310775,"Globe at Night","2023-11-12 03:50:00+00:00",41.7363656,-88.2435893,219.93,-360,0,0,NA,"","Pegasus","Clear sky at night, clear enough to see stars up in the sky.","","United States - Illinois",2640.71899414062,12.3676328659058,8829135
